0,2.305777142,1.8546768996,0,0,1.4770807278,2.1028845011,1.5517625977,0,0,0,0,0,0,2.4895162516,0,1.3654686705,0,1.4395178107,0,1.4044026923,1.7253073166,0,0,1.9219592512,0,0,0,0,0,1.0389505429,0,0,0,0,0,1.2786846869,0,0,0,0,0,0,0,0,0,1.0462864445,0,0,0
2.305777142,0,0,0,1.2105761169,0,1.5347492014,1.6266658938,0,0,1.2549036797,0,0,0,2.3930040331,0,0,1.2650857105,0,0,1.9062477958,1.6024388801,0,0,2.3769301441,0,0.9151247445,0,0,0.9734390159,1.1383882678,0,0,0,0,0,1.1776875558,1.3179240503,1.0362846138,0,0,0,0,0,0,0,1.1460178815,0,0,0
1.8546768996,0,0,1.1602012975,0,2.2959130915,2.0050254929,1.5786928367,0,1.1006319881,0,1.3108424854,0,0,0,1.155731119,1.1814860714,0,0,1.0182161249,0,0,1.8136101623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1895978601,0,1.2935887697,0.9599278699,0,0,0,0,0
0,0,1.1602012975,0,0,1.4792258885,0,0,0.9599418914,1.1467515769,0,1.776446853,0,0,0,0,0,0,0,0,1.1202218534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003214279,0.783496364,0
0,1.2105761169,0,0,0,0,1.1701258776,1.1135537754,0,0,1.0881345804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0459208275,0,1.0235707605,0,0.8200124945,0,0,0,0,0,1.4209759337,0,0,0.8382833229,0,0,0,0,0,0,0,0,0
1.4770807278,0,2.2959130915,1.4792258885,0,0,1.6318473191,0,0,0,0,1.5412317363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1028845011,1.5347492014,2.0050254929,0,1.1701258776,1.6318473191,0,1.9716537333,0,0,0,0,0,0,1.5960914932,0,1.3102331161,0,1.1853936965,0,0,0,1.8630585216,0,0,0,0,1.0553721668,0,0,0,0,1.2524127989,0,1.0340711331,0,0,0,0,1.01387218,0,1.178210532,0,1.2977036534,0,0,0,0,0,0.9867818136
1.5517625977,1.6266658938,1.5786928367,0,1.1135537754,0,1.9716537333,0,0,0,0,0,0,0,1.395679935,0,0,1.385445671,0,0.9901015211,0,0,1.6040141615,0,0,0,0,0,0,0,0,0,1.21704942,0,0,0.9324616871,0,1.3033181679,0,0,0,1.3324339369,0,1.4312708962,0,0,0,0,0,0
0,0,0,0.9599418914,0,0,0,0,0,0,0,1.049245097,0,0,0.9454856202,0.9585702774,0,0,0,0,0,0,0,0,1.1679566587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.1006319881,1.1467515769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0427518897,0,0,0.7814970798,0.8740511908,0,0,0,0,0,0,0,0,0,0,0,0,1.0221167877,0,0,0,0,0,0,0,0.8348540564,0.772283173,0.8460403562
0,1.2549036797,0,0,1.0881345804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1446109433,0,0,1.4470538766,0,0,0,0,0,0,0,0,0,0.8859679065,0.8826822822,0,1.3152044347,0,0,0.8741334587,0,0,0,0,0,0,0,0,0
0,0,1.3108424854,1.776446853,0,1.5412317363,0,0,1.049245097,0,0,0,0,0,0,1.1155591351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7375743708,0,0,0,0,0,0,0,0,0,0.6952485297,0.72733608,0,0,0,0,0.7190365941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7554957533,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3868544488,0,1.0367519433,0,0,0,0,0,0.7779607492,0,1.0247898024,1.1840801009,0,0.9411256142,0,0,1.7506636912,0,0.9257422473,0,0,0.9610140683,0,1.0773903578,0,0,0,0,0,0,0,0,0
2.4895162516,2.3930040331,0,0,0,0,1.5960914932,1.395679935,0.9454856202,0,0,0,0,0,0,0,0,0,0,0,1.3817246369,1.390587087,0,0.9015229105,1.8648875565,0,0,0,0,0.9343866033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1408373604,0,0,1.0025875512
0,0,1.155731119,0,0,0,0,0,0.9585702774,0,0,1.1155591351,0.7375743708,0,0,0,0,0,0,1.2000545736,0,0,1.1807600601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7251754558,0,0
1.3654686705,0,1.1814860714,0,0,0,1.3102331161,0,0,0,0,0,0,0,0,0,0,0,1.3735809215,0,0,0,0,0.8613212924,0,0.7492237147,0,0,0,0,0,0,1.0193120278,0,0,0,0,0,0,1.0882907026,0,0,0.8024080797,0,0,0.9641741046,0,0,0,0
0,1.2650857105,0,0,0,0,0,1.385445671,0,0,0,0,0,1.3868544488,0,0,0,0,0,0,0,0,1.2347445015,0,0,0,0,0,0.9902886053,0,0,0,1.2531600148,0,0,0,0,0,1.2071977411,0,1.001583011,0,0,0,0,0,0,0,0,0
1.4395178107,0,0,0,0,0,1.1853936965,0,0,0,0,0,0,0,0,0,1.3735809215,0,0,0,0,1.3505411297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1823125056,0,0,0,0,0,0,0,0.9212305562,0.8042730548,0,0,0,0
0,0,1.0182161249,0,0,0,0,0.9901015211,0,0,0,0,0,1.0367519433,0,1.2000545736,0,0,0,0,0,0,1.0957224521,0.7998110547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.779271667,0,0,0,0
1.4044026923,1.9062477958,0,1.1202218534,0,0,0,0,0,0,0,0,0,0,1.3817246369,0,0,0,0,0,0,0,0,0,1.6178387337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2055860944,0.8891808437,0,0
